OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
437,0,78,CHAPEL,STREET,,
438,0,80,CHAPEL,STREET,,
439,0,82,CHAPEL,STREET,,
440,0,84,CHAPEL,STREET,,
441,0,0,CHAPEL,STREET,SCHOOL,
442,0,108,CHAPEL,STREET,,
443,0,110,CHAPEL,STREET,,
444,0,112,CHAPEL,STREET,,
445,0,114,CHAPEL,STREET,,
446,0,32,RUTGER,STREET,,
447,0,34,RUTGER,STREET,,
448,0,36,RUTGER,STREET,,
449,0,38,RUTGER,STREET,,
450,0,40,RUTGER,STREET,,
451,0,42,RUTGER,STREET,,
452,0,44,RUTGER,STREET,,
453,0,33,RUTGER,STREET,,
454,0,35,RUTGER,STREET,,
455,0,37,RUTGER,STREET,,
456,0,39,RUTGER,STREET,,
457,0,41,RUTGER,STREET,,
458,0,43,RUTGER,STREET,,
459,0,2,LEE,STREET,,
460,0,4,LEE,STREET,,
461,0,6,LEE,STREET,,
462,0,8,LEE,STREET,,
463,0,10,LEE,STREET,,
464,0,12,LEE,STREET,,
465,0,19,STUCKERIS,STREET,,
466,0,21,STUCKERIS,STREET,,
467,0,2,GRAY,STREET,,
468,0,6,GRAY,STREET,,
469,0,8,GRAY,STREET,,
470,0,10,GRAY,STREET,,
471,0,12,GRAY,STREET,,
472,0,14,GRAY,STREET,,
473,0,3,GRAY,STREET,,
474,0,5,GRAY,STREET,,
475,0,7,GRAY,STREET,,
476,0,9,GRAY,STREET,,
477,0,11,GRAY,STREET,,
478,0,93,ROGER,STREET,,
479,0,95,ROGER,STREET,,
480,0,97,ROGER,STREET,,
481,0,99,ROGER,STREET,,
482,0,6,QUEEN,STREET,,
483,0,8,QUEEN,STREET,,
484,0,118,CHAPEL,STREET,,
485,0,120,CHAPEL,STREET,,
486,0,122,CHAPEL,STREET,,
487,0,124,CHAPEL,STREET,,
488,0,89,ROGER,STREET,,
489,0,91,ROGER,STREET,,
490,0,1,ST PHILLIPS,STREET,,
491,0,3,ST PHILLIPS,STREET,,
492,0,0,ST PHILLIPS,STREET,,
493,0,0,STUCKERIS,STREET,,
494,0,0,STUCKERIS,STREET,,
495,0, ,ADAM,STREET,,
