Street,ID,Match
ASPELING,vol16_131.tif-2,True
REFORM,vol16_303.tif-4,True
WILLIAM,vol16_057.tif-3,True
RUSSELL,vol16_303.tif-1,True
RICHMOND,vol16_303.tif-2,True
VIRGINIA,vol16_303.tif-3,True
GOOFFREY,vol16_196.tif-4,False
PONTAC,vol16_174.tif-1,True
RIEBEECK,vol16_174.tif-2,False
WILLIAM,vol16_196.tif-3,True
PEDERSEN,vol16_174.tif-4,True
HANOVER,vol16_099.tif-4,True
,vol16_099.tif-2,False
PIET RETIEF,vol16_099.tif-3,False
KENT,vol16_099.tif-1,True
COLLEGE,vol16_387.tif-1,True
BREE,vol16_387.tif-2,False
HYDE,vol16_387.tif-3,True
GODFREY,vol16_387.tif-4,True
HORSBURG,vol16_258.tif-1,False
DE VILLIER,vol16_258.tif-3,False
PARK,vol16_258.tif-2,False
SPRINGFIELD,vol16_258.tif-4,True
CALEDON,vol16_362.tif-3,True
TENNANT,vol16_052.tif-4,True
LAVENDER,vol16_362.tif-1,True
OSBORNE,vol16_052.tif-1,True
VINE,vol16_052.tif-3,False
WILLIAM,vol16_052.tif-2,True
ALBERT,vol16_246.tif-4,True
DUKE,vol16_360.tif-3,False
RICHMOND,vol16_360.tif-2,True
MORLAND TERRACE,vol16_246.tif-1,False
,vol16_246.tif-2,False
GRAY,vol16_246.tif-3,True
PARKIN,vol16_144.tif-1,True
LAVENDER,vol16_144.tif-3,True
BALMORAL,vol16_144.tif-2,False
WILLIAM,vol16_144.tif-4,True
,vol16_147.tif-4,False
CONSTITUTION,vol16_147.tif-2,True
PRIMROSE,vol16_147.tif-3,True
CONSTITUTION,vol16_147.tif-1,True
ST SISOM,vol16_070.tif-1,False
CALEDON,vol16_070.tif-3,True
De KORTE,vol16_070.tif-2,False
STIRLING,vol16_070.tif-4,True
WICHT,vol16_333.tif-1,True
ARUNDEL,vol16_333.tif-3,True
LOCH,vol16_069.tif-4,True
MOUNT,vol16_069.tif-3,True
WILLIAM,vol16_069.tif-2,True
SACKVILLE,vol16_069.tif-1,False
GRAY,vol16_347.tif-4,True
MOUNT,vol16_347.tif-1,True
HORSTLEY,vol16_347.tif-2,True
PARKIN,vol16_347.tif-3,True
DEKORTE,vol16_017.tif-1,False
LOEH,vol16_017.tif-2,False
LOEH,vol16_017.tif-3,False
BLYMOUTH,vol16_017.tif-4,False
GODFREY,vol16_267.tif-3,True
CAMBRIDGE,vol16_267.tif-2,True
RICHMOND,vol16_267.tif-1,True
STUCKERIS,vol16_267.tif-4,True
JONKET,vol16_265.tif-1,False
BRONEWELL,vol16_265.tif-3,False
LEWIS,vol16_265.tif-2,True
UPPER ASHLEY,vol16_265.tif-4,True
BRIDGE,vol16_214.tif-1,True
NEW CHURCH,vol16_337.tif-4,False
CONSTITUTION,vol16_214.tif-3,True
BRIDGE,vol16_214.tif-2,True
GLOUCESTER,vol16_337.tif-1,True
GRANT,vol16_214.tif-4,False
BROWN,vol16_337.tif-3,False
LONGMARKET,vol16_337.tif-2,True
LONGMARKET,vol16_122.tif-4,True
,vol16_122.tif-1,False
LOADER,vol16_122.tif-3,False
RICHMOND,vol16_122.tif-2,True
BUCHANAN,vol16_282.tif-4,False
KENT,vol16_282.tif-1,True
UPPER ASHLEY,vol16_282.tif-2,True
VAN DER MEULEN,vol16_282.tif-3,False
PARKIN,vol16_021.tif-3,True
LEVER,vol16_021.tif-2,True
SOREY,vol16_021.tif-1,False
LOOP,vol16_021.tif-4,False
QUEEN,vol16_328.tif-4,True
,vol16_114.tif-4,False
ARINDEL,vol16_114.tif-2,False
STIRLING,vol16_114.tif-3,True
SIR LOWRY,vol16_328.tif-3,True
PARLEIN,vol16_114.tif-1,False
CONSTITUTION,vol16_342.tif-4,True
CAMBRIDGE,vol16_342.tif-1,True
MCKENZIE,vol16_342.tif-3,True
CHAPEL,vol16_342.tif-2,True
MILITOUS,vol16_188.tif-1,False
QUEEN'S,vol16_188.tif-3,False
HORSTLEY,vol16_188.tif-2,True
CALEDON,vol16_188.tif-4,True
,vol16_210.tif-4,False
ADAM,vol16_210.tif-1,False
,vol16_210.tif-3,False
ECKARD,vol16_210.tif-2,True
GAY,vol16_357.tif-3,False
STIRLING,vol16_357.tif-2,True
UPPER ASHLEY,vol16_357.tif-1,True
ALBERT,vol16_357.tif-4,True
PLYMOUTH,vol16_380.tif-3,True
KENT,vol16_380.tif-2,True
KENT,vol16_380.tif-1,True
PLYMOUTH,vol16_380.tif-4,True
CHESTER,vol16_025.tif-4,True
ROELAND,vol16_025.tif-3,True
CONSTITUTION,vol16_025.tif-2,True
ELIZABETH,vol16_025.tif-1,False
DORP,vol16_225.tif-4,False
ROGER,vol16_225.tif-1,True
VICTORIA,vol16_225.tif-3,False
ROGER,vol16_225.tif-2,True
PARKIN,vol16_133.tif-4,True
CONSTITUTION,vol16_133.tif-3,True
PARDIN,vol16_133.tif-2,False
ROCHESTER,vol16_133.tif-1,True
DE KORTE,vol16_197.tif-1,True
,vol16_197.tif-3,False
HANOVER,vol16_197.tif-2,True
SIR LOWRY,vol16_197.tif-4,True
SIR LOWRY,vol16_327.tif-4,True
CONSTITUTION,vol16_327.tif-2,True
STIRLING,vol16_327.tif-3,True
DE VILLIERS,vol16_327.tif-1,True
UPPER ASHLEY,vol16_151.tif-3,True
UPPER ASHLEY,vol16_151.tif-2,True
GRAY,vol16_151.tif-1,True
,vol16_151.tif-4,False
KIEWIEBURY,vol16_308.tif-3,False
VERNON,vol16_308.tif-2,True
GYMPIE,vol16_308.tif-1,False
HORSTLEY,vol16_308.tif-4,True
STONE,vol16_274.tif-3,True
STONE,vol16_274.tif-2,True
,vol16_274.tif-1,False
HARRINGTON,vol16_274.tif-4,True
SPRINGFIELD,vol16_316.tif-2,True
ASHLEY,vol16_316.tif-3,True
LAVENDER,vol16_316.tif-1,True
FOURTH,vol16_316.tif-4,False
PARKIN,vol16_293.tif-2,True
SIDNEY,vol16_293.tif-3,True
VAN DE LEUR,vol16_358.tif-2,True
ALBERT,vol16_293.tif-1,True
WILLIAM,vol16_358.tif-4,True
BLOEM,vol16_293.tif-4,False
STIRLING,vol16_320.tif-4,True
VAN DE LEUR,vol16_050.tif-4,True
COFFEE,vol16_050.tif-3,False
