Row,File,Number,Name,Type,Other,City,Updated,Match,D6?,
185,vol16_047.tif-1,30,HORSTLEY,STREET,,CAPE TOWN,,True,
186,vol16_047.tif-2,140,CALEDON,STREET,,CAPE TOWN,,True,
187,vol16_047.tif-3,123A,UPPER CONSTITUTION,STREET,,CAPE TOWN,,True,
188,vol16_047.tif-4,14,FRERE,STREET,,CAPE TOWN,,True,
189,vol16_048.tif-1,91,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
190,vol16_048.tif-2,5,OXFORD,PLACE,,CAPE TOWN,,True,
191,vol16_048.tif-3,8,ARUNDEL,STREET,,CAPE TOWN,,True,
192,vol16_048.tif-4,73,CONSTITUTION,STREET,,CAPE TOWN,,True,
193,vol16_049.tif-1,134,ASPELING,STREET,,CAPE TOWN,,True,
194,vol16_049.tif-2,113,HARRINGTON,STREET,,CAPE TOWN,,True,
195,vol16_049.tif-3,34,NILE,STREET,,CAPE TOWN,,True,
196,vol16_049.tif-4,287,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
197,vol16_050.tif-1,,ASPELING,,,HOUT BAY,True,True,N
198,vol16_050.tif-2,10,COFFEE,LANE,,CAPE TOWN,,,
199,vol16_050.tif-3,10,COFFEE,LANE,,CAPE TOWN,,,
200,vol16_050.tif-4,39,VAN DE LEUR,STREET,,,,True,
201,vol16_051.tif-1,39,VAN DE LEUR,STREET,,CAPE TOWN,,True,
202,vol16_051.tif-2,69,UPPER ASHLEY,STREET,,CAPE TOWN,,True,
203,vol16_051.tif-3,4,HARRINGTON,STREET,BUTLER SQUARE OFFICES,CAPE TOWN,,True,
204,vol16_051.tif-4,44,GYMPIE,STREET,,WOODSTOCK,,,N
205,vol16_052.tif-1,4,OSBORNE,STREET,,CAPE TOWN,,True,
206,vol16_052.tif-2,60,WILLIAM,STREET,,CAPE TOWN,,True,
207,vol16_052.tif-3,12,VINE,STREET,,MOWBRAY,,,N
208,vol16_052.tif-4,38,TENNANT,STREET,,CAPE TOWN,,True,
209,vol16_053.tif-1,3,LEE,STREET,,CAPE TOWN,,True,
210,vol16_053.tif-2,3,LEE,STREET,,CAPE TOWN,,True,
