OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
222,0,15,DE KORTE,STREET,,15 DE KORTE
223,0,16,DE KORTE,STREET,,16 DE KORTE
224,0,17,DE KORTE,STREET,,17 DE KORTE
225,0,18,DE KORTE,STREET,,18 DE KORTE
226,0,19,DE KORTE,STREET,,19 DE KORTE
227,0,11,DE KORTE,STREET,,11 DE KORTE
228,0,2,DE KORTE,STREET,,2 DE KORTE
229,0,12,WILLIAM,STREET,,12 WILLIAM
230,0,40,VAN DE LEUR,STREET,,40 VAN DE LEUR
231,0,45,VAN DE LEUR,STREET,,45 VAN DE LEUR
232,0,54,VAN DE LEUR,STREET,,54 VAN DE LEUR
233,0,62,VAN DE LEUR,STREET,,62 VAN DE LEUR
234,0,37,VAN DE LEUR,STREET,,37 VAN DE LEUR
235,0,7,WILLIAM,STREET,,7 WILLIAM
236,0,24,DE KORTE,STREET,,24 DE KORTE
237,0,25,DE KORTE,STREET,,25 DE KORTE
238,0,27,DE KORTE,STREET,,27 DE KORTE
239,0,29,DE KORTE,STREET,,29 DE KORTE
240,0,144,MCKENZIE,STREET,,144 MCKENZIE
241,0,34,MCKENZIE,STREET,,34 MCKENZIE
242,0,11,WILLIAM,STREET,,11 WILLIAM
243,0,3,WILLIAM,STREET,,3 WILLIAM
244,0,4,WILLIAM,STREET,,4 WILLIAM
245,0,5,WILLIAM,STREET,,5 WILLIAM
246,0,8,WILLIAM,STREET,,8 WILLIAM
247,0,6,WILLIAM,STREET,,6 WILLIAM
248,0,9,WILLIAM,STREET,,9 WILLIAM
249,0,13,WILLIAM,STREET,,13 WILLIAM
250,0,15,WILLIAM,STREET,,15 WILLIAM
251,0,16,WILLIAM,STREET,,16 WILLIAM
252,0,17,WILLIAM,STREET,,17 WILLIAM
253,0,18,WILLIAM,STREET,,18 WILLIAM
254,0,19,WILLIAM,STREET,,19 WILLIAM
255,0,20,WILLIAM,STREET,,20 WILLIAM
256,0,21,WILLIAM,STREET,,21 WILLIAM
257,0,22,WILLIAM,STREET,,22 WILLIAM
258,0,23,WILLIAM,STREET,,23 WILLIAM
259,0,24,WILLIAM,STREET,,24 WILLIAM
260,0,25,WILLIAM,STREET,,25 WILLIAM
261,0,26,WILLIAM,STREET,,26 WILLIAM
262,0,27,WILLIAM,STREET,,27 WILLIAM
263,0,28,WILLIAM,STREET,,28 WILLIAM
264,0,29,WILLIAM,STREET,,29 WILLIAM
265,0,30,WILLIAM,STREET,,30 WILLIAM
266,0,31,WILLIAM,STREET,,31 WILLIAM
267,0,32,WILLIAM,STREET,,32 WILLIAM
268,0,34,WILLIAM,STREET,,34 WILLIAM
269,0,37,WILLIAM,STREET,,37 WILLIAM
270,0,30,CANNON,STREET,,30 CANNON
271,0,28,CANNON,STREET,,28 CANNON
272,0,26,CANNON,STREET,,26 CANNON
273,0,27,CANNON,STREET,,27 CANNON
274,0,146,CALEDON,STREET,,146 CALEDON
275,0,148,CALEDON,STREET,,148 CALEDON
276,0,150,CALEDON,STREET,,150 CALEDON
277,0,152,CALEDON,STREET,,152 CALEDON
278,0,154,CALEDON,STREET,,154 CALEDON
279,0,156,CALEDON,STREET,,156 CALEDON
280,0,158,CALEDON,STREET,,158 CALEDON
281,0,160,CALEDON,STREET,,160 CALEDON
282,0,162,CALEDON,STREET,,162 CALEDON
283,0,164,CALEDON,STREET,,164 CALEDON
284,0,166,CALEDON,STREET,,166 CALEDON
285,0,168,CALEDON,STREET,,168 CALEDON
286,0,174,CALEDON,STREET,,174 CALEDON
287,0,176,CALEDON,STREET,,176 CALEDON
288,0,178,CALEDON,STREET,,178 CALEDON
289,0,180,CALEDON,STREET,,180 CALEDON
290,0,182,CALEDON,STREET,,182 CALEDON
291,0,184,CALEDON,STREET,,184 CALEDON
292,0,186,CALEDON,STREET,,186 CALEDON
293,0,188,CALEDON,STREET,,188 CALEDON
294,0,181,CALEDON,STREET,,181 CALEDON
295,0,144,CALEDON,STREET,,144 CALEDON
296,0,141,CALEDON,STREET,,141 CALEDON
297,0,161,CALEDON,STREET,,161 CALEDON
298,0,163,CALEDON,STREET,,163 CALEDON
299,0,165,CALEDON,STREET,,165 CALEDON
300,0,167,CALEDON,STREET,,167 CALEDON
301,0,169,CALEDON,STREET,,169 CALEDON
302,0,173,CALEDON,STREET,,173 CALEDON
303,0,175,CALEDON,STREET,,175 CALEDON
304,0,177,CALEDON,STREET,,177 CALEDON
305,0,179,CALEDON,STREET,,179 CALEDON
306,0,13,WICHT,STREET,,13 WICHT
307,0,15,WICHT,STREET,,15 WICHT
308,0,17,WICHT,SREET,,17 WICHT
309,0,24,PARKIN,STREET,,24 PARKIN
310,0,21,PARKIN,STREET,,21 PARKIN
311,0,28,WICHT,STREET,,28 WICHT
312,0,29,WICHT,STREET,,29 WICHT
313,0,30,WICHT,STREET,,30 WICHT
314,0,31,WICHT,STREET,,31 WICHT
315,0,32,WICHT,STREET,,32 WICHT
316,0,33,WICHT,STREET,,33 WICHT
317,0,34,WICHT,STREET,,34 WICHT
318,0,35,WICHT,STREET,,35 WICHT
319,0,36,WICHT,STREET,,36 WICHT
320,0,37,WICHT,STREET,,37 WICHT
321,0,38,WICHT,STREET,,38 WICHT
322,0,39,WICHT,STREET,,39 WICHT
323,0,40,WICHT,STREET,,40 WICHT
324,0,41,WICHT,STREET,,41 WICHT
325,0,10,GORE,STREET,,10 GORE
326,0,12,GORE,STREET,,12 GORE
327,0,14,GORE,STREET,,14 GORE
328,0,16,GORE,STREET,,16 GORE
329,0,18,GORE,STREET,,18 GORE
330,0,20,GORE,STREET,,20 GORE
331,0,32,OAK,STREET,,32 OAK
332,0,34,OAK,STREET,,34 OAK
333,0,36,OAK,STREET,,36 OAK
334,0,4,SELKIRK,STREET,,4 SELKIRK
335,0,6,SELKIRK,STREET,,6 SELKIRK
336,0,8,SELKIRK,,,8 SELKIRK
337,0,10,SELKIRK,STREET,,10 SELKIRK
338,0,12,SELKIRK,STREET,,12 SELKIRK
339,0,16,MUIR,STREET,,16 MUIR
340,0,18,MUIR,STREET,,18 MUIR
341,0,20,MUIR,STREET,,20 MUIR
342,0,22,MUIR,STREET,,22 MUIR
343,0,24,MUIR,STREET,,24 MUIR
344,0,1,MUIR,STREET,,1 MUIR
345,0,3,MUIR,STREET,,3 MUIR
346,0,5,MUIR,STREET,,5 MUIR
347,0,7,MUIR,STREET,,7 MUIR
348,0,9,MUIR,STREET,,9 MUIR
349,0,11,MUIR,STREET,,11 MUIR
350,0,13,MUIR,STREET,,13 MUIR
351,0,15,MUIR,STREET,,15 MUIR
352,0,18,SIDNEY,STREET,,18 SIDNEY
353,0,20,SIDNEY,STREET,,20 SIDNEY
354,0,22,SIDNEY,STREET,,22 SIDNEY
355,0,17,CHAPEL,STREET,,17 CHAPEL
356,0,19,CHAPEL,STREET,,19 CHAPEL
357,0,21,CHAPEL,STREET,,21 CHAPEL
358,0,23,CHAPEL,STREET,,23 CHAPEL
359,0,25,CHAPEL,STREET,,25 CHAPEL
360,0,27,CHAPEL,STREET,,27 CHAPEL
361,0,67,ROGER,STREET,,67 ROGER
362,0,65,ROGER,STREET,,65 ROGER
363,0,64,CHAPEL,STREET,,64 CHAPEL
364,0,66,CHAPEL,STREET,,66 CHAPEL
365,0,68,CHAPEL,STREET,,68 CHAPEL
366,0,70,CHAPEL,STREET,,70 CHAPEL
367,0,72,CHAPEL,STREET,,72 CHAPEL
368,0,74,CHAPEL,STREET,,74 CHAPEL
369,0,76,CHAPEL,STREET,,76 CHAPEL
370,0,78,CHAPEL,STREET,,78 CHAPEL
371,0,80,CHAPEL,STREET,,80 CHAPEL
372,0,82,CHAPEL,STREET,,82 CHAPEL
373,0,84,CHAPEL,STREET,,84 CHAPEL
374,0,108,CHAPEL,STREET,,108 CHAPEL
375,0,110,CHAPEL,STREET,,110 CHAPEL
376,0,112,CHAPEL,STREET,,112 CHAPEL
377,0,114,CHAPEL,STREET,,114 CHAPEL
378,0,32,RUTGER,STREET,,32 RUTGER
379,0,34,RUTGER,STREET,,34 RUTGER
380,0,36,RUTGER,STREET,,36 RUTGER
381,0,38,RUTGER,STREET,,38 RUTGER
382,0,40,RUTGER,STREET,,40 RUTGER
383,0,42,RUTGER,STREET,,42 RUTGER
384,0,44,RUTGER,STREET,,44 RUTGER
385,0,33,RUTGER,STREET,,33 RUTGER
386,0,35,RUTGER,STREET,,35 RUTGER
387,0,37,RUTGER,STREET,,37 RUTGER
388,0,39,RUTGER,STREET,,39 RUTGER
389,0,41,RUTGER,STREET,,41 RUTGER
390,0,43,RUTGER,STREET,,43 RUTGER
391,0,2,LEE,STREET,,2 LEE
392,0,4,LEE,STREET,,4 LEE
393,0,6,LEE,STREET,,6 LEE
394,0,8,LEE,STREET,,8 LEE
395,0,10,LEE,STREET,,10 LEE
396,0,12,LEE,STREET,,12 LEE
397,0,19,STUCKERIS,STREET,,19 STUCKERIS
398,0,21,STUCKERIS,STREET,,21 STUCKERIS
399,0,2,GRAY,STREET,,2 GRAY
400,0,6,GRAY,STREET,,6 GRAY
401,0,8,GRAY,STREET,,8 GRAY
402,0,10,GRAY,STREET,,10 GRAY
403,0,12,GRAY,STREET,,12 GRAY
404,0,14,GRAY,STREET,,14 GRAY
405,0,3,GRAY,STREET,,3 GRAY
406,0,5,GRAY,STREET,,5 GRAY
407,0,7,GRAY,STREET,,7 GRAY
408,0,9,GRAY,STREET,,9 GRAY
409,0,11,GRAY,STREET,,11 GRAY
410,0,93,ROGER,STREET,,93 ROGER
411,0,95,ROGER,STREET,,95 ROGER
412,0,97,ROGER,STREET,,97 ROGER
413,0,99,ROGER,STREET,,99 ROGER
414,0,6,QUEEN,STREET,,6 QUEEN
415,0,8,QUEEN,STREET,,8 QUEEN
416,0,118,CHAPEL,STREET,,118 CHAPEL
417,0,120,CHAPEL,STREET,,120 CHAPEL
418,0,122,CHAPEL,STREET,,122 CHAPEL
419,0,124,CHAPEL,STREET,,124 CHAPEL
420,0,89,ROGER,STREET,,89 ROGER
421,0,91,ROGER,STREET,,91 ROGER
422,0,1,ST PHILLIPS,STREET,,1 ST PHILLIPS
423,0,3,ST PHILLIPS,STREET,,3 ST PHILLIPS
424,0,71,TENNANT,STREET,,71 TENNANT
425,0,69,TENNANT,STREET,,69 TENNANT
426,0,77,TENNANT,STREET,,77 TENNANT
427,0,79,TENNANT,STREET,,79 TENNANT
428,0,169,CALEDON,STREET,,169 CALEDON
429,0,171,CALEDON,STREET,,171 CALEDON
430,0,173,CALEDON,STREET,,173 CALEDON
431,0,175,CALEDON,STREET,,175 CALEDON
432,0,177,CALEDON,STREET,,177 CALEDON
433,0,179,CALEDON,STREET,,179 CALEDON
434,0,181,CALEDON,STREET,,181 CALEDON
435,0,183,CALEDON,STREET,,183 CALEDON
436,0,185,CALEDON,STREET,,185 CALEDON
437,0,187,CALEDON,STREET,,187 CALEDON
438,0,189,CALEDON,STREET,,189 CALEDON
439,0,191,CALEDON,STREET,,191 CALEDON
440,0,193,CALEDON,STREET,,193 CALEDON
441,0,195,CALEDON,STREET,,195 CALEDON
442,0,197,CALEDON,STREET,,197 CALEDON
443,0,199,CALEDON,STREET,,199 CALEDON
444,0,203,CALEDON,STREET,,203 CALEDON
445,0,30,AYRE,STREET,,30 AYRE
446,0,26,AYRE,STREET,,26 AYRE
447,0,22,AYRE,STREET,,22 AYRE
448,0,20,AYRE,STREET,,20 AYRE
449,0,18,AYRE,STREET,,18 AYRE
450,0,16,AYRE,STREET,,16 AYRE
451,0,14,AYRE,STREET,,14 AYRE
452,0,12,AYRE,STREET,,12 AYRE
453,0,10,AYRE,STREET,,10 AYRE
454,0,8,AYRE,STREET,,8 AYRE
455,0,6,AYRE,STREET,,6 AYRE
456,0,4,AYRE,STREET,,4 AYRE
457,0,10,AYRE,STREET,,10 AYRE
458,0,7,AYRE,STREET,,7 AYRE
459,0,5,AYRE,STREET,,5 AYRE
460,0,3,AYRE,STREET,,3 AYRE
461,0,17,AYRE,STREET,,17 AYRE
462,0,24,GODFREY,STREET,,24 GODFREY
463,0,22,GODFREY,STREET,,22 GODFREY
464,0,20,GODFREY,STREET,,20 GODFREY
465,0,30,HANOVER,STREET,,30 HANOVER
466,0,32,HANOVER,STREET,,32 HANOVER
467,0,34,HANOVER,STREET,,34 HANOVER
468,0,36,HANOVER,STREET,,36 HANOVER
469,0,38,HANOVER,STREET,,38 HANOVER
470,0,109,HANOVER,STREET,,109 HANOVER
471,0,117,HANOVER,STREET,,117 HANOVER
472,0,115,HANOVER,STREET,,115 HANOVER
473,0,121,HANOVER,STREET,,121 HANOVER
474,0,125,HANOVER,STREET,,125 HANOVER
475,0,128,HANOVER,STREET,,128 HANOVER
476,0,102,HANOVER,STREET,,102 HANOVER
477,0,104,HANOVER,STREET,,104 HANOVER
478,0,106,HANOVER,STREET,,106 HANOVER
479,0,108,HANOVER,STREET,,108 HANOVER
480,0,110,HANOVER,STREET,,110 HANOVER
481,0,112,HANOVER,STREET,,112 HANOVER
482,0,114,HANOVER,STREET,,114 HANOVER
483,0,116,HANOVER,STREET,,116 HANOVER
484,0,118,HANOVER,STREET,,118 HANOVER
485,0,120,HANOVER,STREET,,120 HANOVER
486,0,167,TYNE,STREET,,167 TYNE
487,0,19,TYNE,STREET,,19 TYNE
488,0,127,HANOVER,STREET,,127 HANOVER
489,0,129,HANOVER,STREET,,129 HANOVER
490,0,133,HANOVER,STREET,,133 HANOVER
491,0,131,HANOVER,STREET,,131 HANOVER
492,0,135,HANOVER,STREET,,135 HANOVER
493,0,139,HANOVER,STREET,,139 HANOVER
494,0,149,HANOVER,STREET,,149 HANOVER
495,0,147,HANOVER,STREET,,147 HANOVER
496,0,145,HANOVER,STREET,,145 HANOVER
497,0,143,HANOVER,STREET,,143 HANOVER
498,0,151,HANOVER,STREET,,151 HANOVER
499,0,153,HANOVER,STREET,,153 HANOVER
500,0,155,HANOVER,STREET,,155 HANOVER
501,0,163,HANOVER,STREET,,163 HANOVER
502,0,165,HANOVER,STREET,,165 HANOVER
503,0,167,HANOVER,STREET,,167 HANOVER
504,0,169,HANOVER,STREET,,169 HANOVER
505,0,171,HANOVER,STREET,,171 HANOVER
506,0,173,HANOVER,STREET,,173 HANOVER
507,0,175,HANOVER,STREET,,175 HANOVER
508,0,177,HANOVER,STREET,,177 HANOVER
509,0,179,HANOVER,STREET,,179 HANOVER
510,0,181,HANOVER,STREET,,181 HANOVER
511,0,183,HANOVER,STREET,,183 HANOVER
512,0,124,HANOVER,STREET,,124 HANOVER
513,0,126,HANOVER,STREET,,126 HANOVER
514,0,128,HANOVER,STREET,,128 HANOVER
515,0,130,HANOVER,STREET,,130 HANOVER
516,0,136,HANOVER,STREET,,136 HANOVER
517,0,138,HANOVER,STREET,,138 HANOVER
518,0,140,HANOVER,STREET,,140 HANOVER
